trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,08:00:00,08:00:00,2001,1
1,,,2002,2
1,,,2003,3
1,,,2004,4
1,,,2005,5
1,,,2006,6
1,,,2007,7
1,,,2008,8
1,,,2009,9
1,,,2010,10
1,,,2011,11
1,,,2012,12
1,,,2013,13
1,,,2014,14
1,,,2015,15
1,,,2016,16
1,,,2017,17
1,,,2018,18
1,,,2020,19
1,24:00:00,24:00:00,2001,20
2,08:00:00,08:00:00,300,1
2,,,301,2
2,,,302,3
2,,,303,4
2,,,304,5
2,,,306,6
2,,,308,7
2,,,309,8
2,,,310,9
2,,,312,10
2,,,313,11
2,,,316,12
2,,,317,13
2,,,319,14
2,,,321,15
2,,,323,16
2,,,324,17
2,,,325,18
2,,,326,19
2,,,327,20
2,,,328,21
2,,,329,22
2,,,331,23
2,,,333,24
2,,,334,25
2,,,335,26
2,,,336,27
2,,,337,28
2,,,338,29
2,,,339,30
2,,,340,31
2,,,341,32
2,,,342,33
2,,,344,34
2,24:00:00,24:00:00,300,35
